Season,Team,Player,Avg Points,GP,G,A,Blk
2024-2025,Rockaway Brattwursts,Pavel Dorofeyev,3.67,21,10,4,8
2024-2025,Rockaway Brattwursts,Timo Meier,3.67,21,10,2,17
2020-2021,Seminole Road Snakeheads,Ryan Nugent-Hopkins,3.66,38,11,16,21
2020-2021,Mt Pearl Vikings,Mats Zuccarello,3.66,38,10,22,17
2020-2021,Mt Pearl Vikings,Evgeni Malkin,3.66,32,8,19,12
2025-2026,Maplewood HC,Tomas Hertl,3.66,79,24,33,45
2025-2026,Potomac Poutine,Marco Rossi,3.66,29,8,14,16
2024-2025,Alberta Cobra Chickens,Timo Meier,3.65,54,15,23,45
2019-2020,Steel Valley Fishers,Brock Nelson,3.64,22,7,11,11
2022-2023,Cantuar Slough Sharks,Jared McCann,3.64,11,5,3,2
2022-2023,Minnesota Frozen Pines,Tomas Hertl,3.64,22,7,8,14
2022-2023,Rotterdam Red Foxes,Brayden Schenn,3.64,74,18,42,38
2024-2025,Bowness Ice Beavers,Tyler Toffoli,3.64,14,6,5,5
2021-2022,Pennant Pumpjacks,Tom Wilson,3.63,75,24,28,52
2022-2023,Scotty,Anders Lee,3.63,43,15,14,31
2022-2023,Mt Pearl Vikings,Patrick Kane,3.63,70,21,35,19
2025-2026,Maplewood HC,Kevin Fiala,3.63,49,17,19,21
2021-2022,Rotterdam Red Foxes,Adam Henrique,3.62,13,3,5,15
2022-2023,Scotty,Chris Kreider,3.62,77,36,17,24
2022-2023,Woodland Whistle Pigs,Viktor Arvidsson,3.62,26,9,10,11
2022-2023,Woodland Whistle Pigs,Martin Necas,3.62,24,6,14,6
2024-2025,Woodland Whistle Pigs,Mark Stone,3.62,24,5,13,19
2023-2024,Driftless Hockey Club,Tyler Toffoli,3.61,46,21,13,6
2023-2024,Slick City Jackals,Wyatt Johnston,3.61,77,28,28,37
2025-2026,Potomac Poutine,Aliaksei Protas,3.61,54,20,19,33
2019-2020,Steel Valley Fishers,Filip Forsberg,3.6,48,18,20,12
2024-2025,Bowness Ice Beavers,Simon Holmstrom,3.6,10,3,4,6
2025-2026,Scotty,Carter Verhaeghe,3.6,50,20,20,13
2019-2020,Bowness Ice Beavers,Taylor Hall,3.59,61,16,32,27
2020-2021,Steel Valley Fishers,William Karlsson,3.59,29,7,15,18
2022-2023,Minnesota Frozen Pines,Owen Tippett,3.59,22,8,4,21
2022-2023,Scotty,Evander Kane,3.59,34,13,11,14
2022-2023,Woodland Whistle Pigs,Nikolaj Ehlers,3.59,44,12,26,8
2024-2025,Les Rois de Lyon,Evgeni Malkin,3.59,44,9,23,34
2024-2025,Rockaway Brattwursts,Nazem Kadri,3.59,69,27,24,24
2019-2020,Bowness Ice Beavers,Zach Hyman,3.58,31,13,10,12
2020-2021,Potomac Poutine,Bo Horvat,3.58,45,15,16,30
2021-2022,Les Rois de Lyon,Claude Giroux,3.58,67,17,40,15
2024-2025,Synth City Sphynx,Pavel Dorofeyev,3.58,12,4,5,3
2025-2026,Driftless Hockey Club,Mika Zibanejad,3.58,26,7,10,18
2025-2026,Driftless Hockey Club,Jimmy Snuggerud,3.58,12,3,5,10
2020-2021,Pennant Pumpjacks,Tom Wilson,3.57,42,13,18,21
2022-2023,Minnesota Frozen Pines,David Perron,3.57,35,12,14,13
2022-2023,Rotterdam Red Foxes,Barrett Hayton,3.57,14,6,4,4
2023-2024,Rockaway Brattwursts,Claude Giroux,3.57,76,20,41,26
2024-2025,Synth City Sphynx,Nikolaj Ehlers,3.57,21,7,8,12
2025-2026,Maplewood HC,Josh Norris,3.57,42,11,21,23
2025-2026,Rotterdam Red Foxes,Adam Fantilli,3.57,81,24,35,51
2020-2021,Rotterdam Red Foxes,Nick Suzuki,3.56,52,12,26,32
2021-2022,Mt Pearl Vikings,Sam Bennett,3.56,57,23,17,22
2021-2022,Taku River Glaciers,Brady Tkachuk,3.56,52,18,21,22
2022-2023,Cachco Eagles,Andre Burakovsky,3.56,45,11,26,14
2025-2026,Scotty,Brayden Point,3.56,61,18,31,23
2020-2021,Synth City,Chandler Stephenson,3.55,29,7,14,20
2020-2021,Slick City Jackals,David Pastrnak,3.55,29,8,17,3
2023-2024,Maplewood HC,Drake Batherson,3.55,33,10,14,18
2024-2025,Les Rois de Lyon,Ryan O'Reilly,3.55,11,4,1,11
2025-2026,Alberta Cobra Chickens,Will Smith,3.55,33,11,16,5
2019-2020,Taku River Glaciers,Brendan Gallagher,3.54,57,21,21,29
2019-2020,Bowness Ice Beavers,Brock Nelson,3.54,37,12,14,26
2019-2020,Slick City Jackals,Jamie Benn,3.54,13,4,3,14
2020-2021,Synth City,Jakub Voracek,3.54,48,9,33,18
2020-2021,Bowness Ice Beavers,James van Riemsdyk,3.54,28,8,15,10
2025-2026,Les  Rois de Lyon,Ryan Donato,3.54,13,6,4,3
2019-2020,Les Rois De Lyon,Jonathan Toews,3.53,64,16,35,33
2019-2020,Scotty,Jakub Vrana,3.53,60,23,23,14
2019-2020,Steel Valley Fishers,Ryan Getzlaf,3.53,51,11,25,43
2023-2024,Steel Valley Fishers,Pavel Buchnevich,3.53,73,23,33,25
2024-2025,Woodland Whistle Pigs,Brad Marchand,3.53,51,16,22,23
2022-2023,Slick City Jackals,Tom Wilson,3.52,27,9,8,22
2019-2020,Cachco Eagles,Brock Boeser,3.52,56,16,29,13
2022-2023,Mt Pearl Vikings,Blake Wheeler,3.52,61,13,34,31
2019-2020,Potomac Poutine,Nikolaj Ehlers,3.51,68,23,30,28
2022-2023,Les Rois de Lyon,Matt Duchene,3.51,69,19,34,32
2022-2023,Synth City,Reilly Smith,3.51,49,18,16,20
2025-2026,Les  Rois de Lyon,Jason Zucker,3.51,43,17,13,16
2020-2021,Taku River Glaciers,Jamie Benn,3.5,18,4,10,9
2021-2022,Seminole Road Snakeheads,Phillip Danault,3.5,66,23,21,43
2021-2022,Pennant Pumpjacks,Boone Jenner,3.5,14,5,4,10
2021-2022,Synth City,Evgenii Dadonov,3.5,10,3,6,2
2022-2023,Synth City,Mikael Granlund,3.5,12,1,9,8
2023-2024,Bowness Ice Beavers,Tyler Seguin,3.5,26,10,9,7
2023-2024,Cantuar Slough Sharks,Jason Dickinson,3.5,10,3,4,7
2023-2024,Driftless Hockey Club,Eeli Tolvanen,3.5,12,3,4,14
2023-2024,Slick City Jackals,Drake Batherson,3.5,32,10,14,10
2024-2025,Rockaway Brattwursts,Mason McTavish,3.5,12,4,6,3
2024-2025,Synth City Sphynx,William Eklund,3.5,48,11,22,30
2024-2025,Alberta Cobra Chickens,Jaden Schwartz,3.5,20,6,6,18
2024-2025,Potomac Poutine,Dylan Holloway,3.5,12,3,6,7
2019-2020,Slick City Jackals,Evgeny Kuznetsov,3.49,61,18,32,16
2023-2024,Driftless Hockey Club,Trevor Moore,3.49,73,24,23,54
2023-2024,Scotty,Evander Kane,3.49,43,18,10,19
2025-2026,Bowness Ice Beavers,J.T. Miller,3.49,43,13,19,18
2020-2021,Pennant Pumpjacks,Jonathan Marchessault,3.48,50,17,24,11
2024-2025,Alberta Cobra Chickens,Sam Bennett,3.48,21,7,8,11
2024-2025,Bowness Ice Beavers,Bo Horvat,3.48,25,9,8,14
2024-2025,Steel Valley Fishers,Kevin Fiala,3.48,65,28,17,16
2019-2020,Slick City Jackals,Pierre-Luc Dubois,3.47,70,18,31,50
2019-2020,Steel Valley Fishers,Brayden Schenn,3.47,34,14,11,5
2020-2021,Alberta Cobra Chickens,Andrei Svechnikov,3.47,55,15,27,18
2021-2022,Minnesota Frozen Pines,Joel Eriksson Ek,3.47,73,25,22,42
2022-2023,Bowness Ice Beavers,Vladimir Tarasenko,3.47,60,16,28,31
2022-2023,Les Rois de Lyon,Dominik Kubalik,3.47,34,11,13,11
2024-2025,Driftless Hockey Club,Mason Marchment,3.47,17,8,4,6
2020-2021,Slick City Jackals,T.J. Oshie,3.46,26,6,12,16
2022-2023,Maplewood HC,Timo Meier,3.46,24,10,4,16
2024-2025,Mt Pearl Vikings,Steven Stamkos,3.46,79,26,25,44
2019-2020,Alberta Cobra Chickens,Dylan Larkin,3.45,64,16,29,41
2020-2021,Seminole Road Snakeheads,Travis Konecny,3.45,29,8,14,9
2021-2022,Les Rois de Lyon,Mikael Granlund,3.45,64,8,40,39
2023-2024,Rotterdam Red Foxes,Sam Bennett,3.45,11,1,5,16
2024-2025,Cantuar Slough Sharks,Brock Boeser,3.44,73,25,24,34
2024-2025,Scotty,Chris Kreider,3.44,18,10,0,4
2024-2025,Slick City Jackals,Mika Zibanejad,3.44,52,10,25,35
2025-2026,Southside Hellbats,Nikolaj Ehlers,3.44,54,14,27,17
2025-2026,Synth City Sphynx,Dylan Cozens,3.44,80,26,31,24
2019-2020,Pennant Pumpjacks,Claude Giroux,3.43,60,16,30,15
2019-2020,Steel Valley Fishers,Ryan Strome,3.43,51,11,29,19
2020-2021,Alberta Cobra Chickens,Ondrej Palat,3.43,23,4,13,16
2023-2024,Mt Pearl Vikings,Sean Monahan,3.43,14,4,4,9
2022-2023,Steel Valley Fishers,Zach Hyman,3.42,19,8,6,2
2019-2020,Minnesota Frozen Pines,Max Domi,3.42,24,8,11,4
2020-2021,Maplewood HC,Yegor Sharangovich,3.42,24,9,8,9
2020-2021,Rotterdam Red Foxes,Nino Niederreiter,3.42,12,5,3,5
2021-2022,Synth City,Andre Burakovsky,3.42,76,21,37,30
2021-2022,Mt Pearl Vikings,Zach Hyman,3.42,64,23,23,19
2025-2026,Mt Pearl Vikings,Anton Lundell,3.42,48,13,19,28
2021-2022,Bowness Ice Beavers,Oliver Bjorkstrand,3.41,74,25,28,26
2021-2022,Potomac Poutine,Trevor Zegras,3.41,58,14,32,18
2023-2024,Mt Pearl Vikings,Cole Caufield,3.41,64,19,31,15
2023-2024,Scotty,Vladimir Tarasenko,3.41,75,23,31,39
2024-2025,Steel Valley Fishers,Jared McCann,3.41,54,13,25,33
2019-2020,Minnesota Frozen Pines,Rickard Rakell,3.4,43,11,20,19
2020-2021,Steel Valley Fishers,Oliver Bjorkstrand,3.4,43,13,18,24
2020-2021,Steel Valley Fishers,Johnny Gaudreau,3.4,35,13,12,6
2025-2026,Rockaway Brattwursts,Frank Nazar,3.4,47,14,16,34
2021-2022,Cachco Eagles,T.J. Oshie,3.39,36,11,11,23
2021-2022,Alberta Cobra Chickens,Tyler Bertuzzi,3.39,18,5,7,11
2022-2023,Potomac Poutine,Trevor Zegras,3.39,71,18,37,26
2024-2025,Cantuar Slough Sharks,Brayden Schenn,3.38,16,4,7,12
2019-2020,Taku River Glaciers,Jakub Voracek,3.38,16,4,8,5
2020-2021,Scotty,Jean-Gabriel Pageau,3.38,26,6,8,27
2020-2021,Cachco Eagles,Cam Atkinson,3.38,40,12,14,20
2024-2025,Bowness Ice Beavers,Jonathan Drouin,3.38,37,8,22,8
2025-2026,Maplewood HC,Josh Doan,3.38,16,7,4,4
2025-2026,Rockaway Brattwursts,Owen Tippett,3.38,29,10,6,22
2025-2026,Synth City Sphynx,Josh Doan,3.38,26,8,9,15
2019-2020,Bowness Ice Beavers,Alexander Radulov,3.37,27,8,7,23
2025-2026,Woodland Whistle Pigs,Patrick Kane,3.37,35,7,19,17
2019-2020,Rotterdam Red Foxes,David Krejci,3.36,58,13,29,30
2021-2022,Slick City Jackals,Mathew Barzal,3.36,64,15,37,14
2023-2024,Woodland Whistle Pigs,Nazem Kadri,3.36,42,11,23,9
2024-2025,Steel Valley Fishers,Michael Bunting,3.36,14,5,4,3
2025-2026,Bowness Ice Beavers,Beckett Sennecke,3.36,61,17,29,16
2019-2020,Pennant Pumpjacks,Anders Lee,3.35,65,19,22,50
2019-2020,Taku River Glaciers,Andre Burakovsky,3.35,17,5,6,10
2024-2025,Les Rois de Lyon,Bo Horvat,3.35,20,5,11,7
2024-2025,Rockaway Brattwursts,Pavel Buchnevich,3.35,65,17,31,26
2025-2026,Maplewood HC,Pierre-Luc Dubois,3.35,20,4,11,9
2025-2026,Driftless Hockey Club,Trevor Zegras,3.35,54,15,25,20
2021-2022,Potomac Poutine,Anthony Cirelli,3.34,59,14,20,58
2019-2020,Last Mountain Walleye,Sam Reinhart,3.34,29,10,11,9
2024-2025,Cantuar Slough Sharks,Ryan Nugent-Hopkins,3.34,68,16,27,42
2019-2020,Slick City Jackals,Evgenii Dadonov,3.33,67,24,21,24
2019-2020,Taku River Glaciers,Lars Eller,3.33,24,7,9,14
2019-2020,Last Mountain Walleye,Jamie Benn,3.33,18,6,3,16
2020-2021,Mt Pearl Vikings,Ryan Strome,3.33,24,3,16,8
2020-2021,Les Rois de Lyon,Teuvo Teravainen,3.33,15,3,9,6
2021-2022,Cachco Eagles,Tyler Seguin,3.33,15,5,6,5
2022-2023,Cantuar Slough Sharks,Brock Boeser,3.33,43,10,22,19
2022-2023,Minnesota Frozen Pines,Max Domi,3.33,57,14,30,17
2022-2023,Steel Valley Fishers,Mats Zuccarello,3.33,27,4,15,16
2023-2024,Woodland Whistle Pigs,Martin Necas,3.33,72,23,27,28
2023-2024,Woodland Whistle Pigs,Artturi Lehkonen,3.33,21,6,9,7
2025-2026,Woodland Whistle Pigs,Dawson Mercer,3.33,30,7,12,20
2019-2020,Minnesota Frozen Pines,Tyler Bertuzzi,3.32,50,16,18,22
2020-2021,Slick City Jackals,Mathew Barzal,3.32,53,15,26,13
2022-2023,Pennant Pumpjacks,Jesper Bratt,3.32,31,13,8,6
2020-2021,Pennant Pumpjacks,Dustin Brown,3.31,26,12,5,5
2019-2020,Slick City Jackals,Nick Foligno,3.31,13,4,5,8
2021-2022,Synth City,Jared McCann,3.31,65,23,20,23
2019-2020,Minnesota Frozen Pines,Roope Hintz,3.3,40,15,9,17
2020-2021,Mt Pearl Vikings,Jordan Staal,3.3,47,15,16,20
2020-2021,Minnesota Frozen Pines,Conor Garland,3.3,46,11,24,18
2020-2021,Taku River Glaciers,Evgeny Kuznetsov,3.3,23,5,12,12
2021-2022,Les Rois de Lyon,Yanni Gourde,3.3,10,4,3,4
2025-2026,Woodland Whistle Pigs,Jesper Bratt,3.3,44,9,24,14
2023-2024,Slick City Jackals,Jonathan Marchessault,3.29,14,6,2,4
2025-2026,Scotty,Conor Garland,3.29,14,5,4,7
2019-2020,Alberta Cobra Chickens,Jason Zucker,3.28,50,15,20,20
2019-2020,Taku River Glaciers,Jamie Benn,3.28,29,6,12,20
2020-2021,Les Rois de Lyon,Logan Couture,3.28,53,17,14,39
2020-2021,Minnesota Frozen Pines,Carter Verhaeghe,3.28,29,9,12,7
2023-2024,Cantuar Slough Sharks,Owen Tippett,3.28,25,8,9,13
2023-2024,Woodland Whistle Pigs,Teuvo Teravainen,3.28,29,10,7,11
2025-2026,Mt Pearl Vikings,JJ Peterka,3.28,32,12,12,8
2025-2026,Mt Pearl Vikings,Boone Jenner,3.28,18,3,9,16
2019-2020,Last Mountain Walleye,Pavel Buchnevich,3.27,11,2,6,6
2023-2024,Potomac Poutine,Mason McTavish,3.27,51,12,23,27
2023-2024,Steel Valley Fishers,Sean Couturier,3.27,41,9,19,24
2024-2025,Maplewood HC,Troy Terry,3.27,52,16,22,17
2024-2025,Pennant Pumpjacks,Gabriel Vilardi,3.27,15,3,7,10
2024-2025,Woodland Whistle Pigs,Teuvo Teravainen,3.27,15,4,5,7
2019-2020,Mt Pearl Vikings,Timo Meier,3.26,66,19,24,37
2023-2024,Synth City Sphynx,Chandler Stephenson,3.26,62,15,27,29
2024-2025,Maplewood HC,JJ Peterka,3.26,53,12,29,12
2025-2026,Cantuar Slough Sharks,Ivan Demidov,3.26,69,16,36,22
2025-2026,Cantuar Slough Sharks,Valeri Nichushkin,3.26,54,15,25,20
2025-2026,Rotterdam Red Foxes,Chris Kreider,3.25,52,16,20,16
2019-2020,Cachco Eagles,Vincent Trocheck,3.25,51,10,26,31
2019-2020,Scotty,Nick Bonino,3.25,44,10,12,57
2019-2020,Mt Pearl Vikings,James Neal,3.25,44,16,10,13
2021-2022,Cachco Eagles,Alex Killorn,3.25,64,19,27,21
2021-2022,Scotty,Reilly Smith,3.25,52,14,21,21
2024-2025,Bowness Ice Beavers,Mathew Barzal,3.25,24,5,11,16
2024-2025,Mt Pearl Vikings,Boone Jenner,3.25,12,2,7,6
2020-2021,Maplewood HC,Phil Kessel,3.24,21,6,11,2
2021-2022,Alberta Cobra Chickens,Matt Boldy,3.24,21,5,11,8
2022-2023,Mt Pearl Vikings,Reilly Smith,3.24,21,5,10,10
2024-2025,Bowness Ice Beavers,William Eklund,3.24,17,4,8,7
2024-2025,Synth City Sphynx,Matvei Michkov,3.24,45,12,21,10
2019-2020,Minnesota Frozen Pines,Johnny Gaudreau,3.23,57,14,31,6
2020-2021,Scotty,Andrew Copp,3.23,35,9,10,27
2021-2022,Seminole Road Snakeheads,Ryan Strome,3.23,22,9,6,4
2022-2023,Rotterdam Red Foxes,Kevin Hayes,3.23,60,16,27,18
2023-2024,Bowness Ice Beavers,Elias Lindholm,3.23,66,13,27,54
2024-2025,Mt Pearl Vikings,Elias Lindholm,3.23,61,11,21,62
2024-2025,Synth City Sphynx,Ivan Barbashev,3.23,44,14,17,20
2024-2025,Maplewood HC,Juraj Slafkovsky,3.22,63,15,26,43
2020-2021,Pennant Pumpjacks,Dominik Kubalik,3.22,41,14,14,7
2021-2022,Mt Pearl Vikings,Taylor Hall,3.22,72,16,35,35
2021-2022,Taku River Glaciers,Ondrej Palat,3.22,50,14,19,29
2023-2024,Driftless Hockey Club,Jeff Skinner,3.22,27,10,9,5
2023-2024,Woodland Whistle Pigs,Nikolaj Ehlers,3.22,41,14,15,15
2024-2025,Bowness Ice Beavers,Nick Schmaltz,3.21,14,0,11,9
2024-2025,Rotterdam Red Foxes,Fabian Zetterlund,3.21,52,11,18,53
2020-2021,Potomac Poutine,Jakub Vrana,3.2,46,17,16,7
2021-2022,Slick City Jackals,Blake Wheeler,3.2,20,1,15,9
2022-2023,Woodland Whistle Pigs,Bryan Rust,3.2,30,7,12,18
2023-2024,Mt Pearl Vikings,Oliver Bjorkstrand,3.2,10,1,7,3
2023-2024,Scotty,Tyler Seguin,3.2,10,4,2,4
2024-2025,Alberta Cobra Chickens,Will Cuylle,3.2,10,3,2,10
2024-2025,Cantuar Slough Sharks,Jake DeBrusk,3.2,25,8,6,15
2024-2025,Synth City Sphynx,Ryan O'Reilly,3.2,20,3,8,21
2025-2026,Driftless Hockey Club,Tyler Bertuzzi,3.2,54,18,16,22
2024-2025,Pennant Pumpjacks,Jason Zucker,3.19,16,4,8,4
2019-2020,Synth City ,Alexander Radulov,3.19,27,7,11,12
2020-2021,Mt Pearl Vikings,Jack Roslovic,3.19,36,8,16,21
2021-2022,Minnesota Frozen Pines,Evan Rodrigues,3.19,27,8,8,13
2022-2023,Cachco Eagles,Eetu Luostarinen,3.19,16,3,8,11
2023-2024,Synth City Sphynx,Pavel Zacha,3.19,67,16,31,30
2024-2025,Bowness Ice Beavers,Matty Beniers,3.19,16,5,4,12
2025-2026,Mt Pearl Vikings,Ryan Nugent-Hopkins,3.19,16,6,3,8
2019-2020,Rotterdam Red Foxes,Jakob Silfverberg,3.18,55,17,15,37
2020-2021,Minnesota Frozen Pines,William Karlsson,3.18,22,6,9,9
2021-2022,Cachco Eagles,Brock Boeser,3.18,68,21,23,24
2025-2026,Rockaway Brattwursts,Dmitry Voronkov,3.18,39,14,9,19
2022-2023,Synth City,Tyler Toffoli,3.17,18,6,6,4
2024-2025,Steel Valley Fishers,Lucas Raymond,3.17,24,5,11,8
2019-2020,Mt Pearl Vikings,Nazem Kadri,3.16,45,15,16,9
2020-2021,Minnesota Frozen Pines,Alex Tuch,3.16,45,15,11,31
2021-2022,Les Rois de Lyon,Ryan O'Reilly,3.16,76,17,35,35
2021-2022,Synth City,Cam Atkinson,3.16,43,9,19,28
2021-2022,Synth City,Ivan Barbashev,3.16,37,10,16,12
2025-2026,Bowness Ice Beavers,William Eklund,3.16,55,11,22,41
2025-2026,Synth City Sphynx,Matty Beniers,3.16,74,17,26,63
2022-2023,Woodland Whistle Pigs,Filip Chytil,3.15,26,8,11,8
2019-2020,Steel Valley Fishers,Dylan Strome,3.15,33,7,16,15
2019-2020,Scotty,Joe Pavelski,3.15,20,5,7,13
2019-2020,Rotterdam Red Foxes,Nico Hischier,3.15,55,13,20,34
2024-2025,Steel Valley Fishers,Zach Hyman,3.15,55,20,14,20
2019-2020,Potomac Poutine,Alex Killorn,3.14,36,16,7,7
2019-2020,Scotty,Sam Reinhart,3.14,22,6,8,11
2020-2021,Minnesota Frozen Pines,Brayden Schenn,3.14,49,13,17,32
2020-2021,Steel Valley Fishers,Sam Reinhart,3.14,22,7,7,7
2020-2021,Potomac Poutine,Christian Dvorak,3.14,21,6,5,17
2020-2021,Taku River Glaciers,Brady Tkachuk,3.14,21,6,7,11
2022-2023,Mt Pearl Vikings,Nazem Kadri,3.14,78,22,29,31
2023-2024,Alberta Cobra Chckens,Tyler Toffoli,3.14,14,6,3,2
2020-2021,Mt Pearl Vikings,Claude Giroux,3.13,52,16,23,5
2020-2021,Slick City Jackals,Nico Hischier,3.13,15,4,3,13
2021-2022,Bowness Ice Beavers,Tanner Jeannot,3.13,31,10,6,28
2021-2022,Taku River Glaciers,Ryan Strome,3.13,31,8,14,10
2024-2025,Pennant Pumpjacks,Jake DeBrusk,3.13,54,17,13,31
2021-2022,Rotterdam Red Foxes,Vincent Trocheck,3.12,76,20,28,41
2019-2020,Synth City ,Jonathan Marchessault,3.12,64,21,23,11
2019-2020,Cachco Eagles,Tyler Seguin,3.12,64,15,28,29
2020-2021,Rotterdam Red Foxes,Nick Foligno,3.12,16,3,5,16
2021-2022,Slick City Jackals,Carter Verhaeghe,3.12,16,6,5,5
2024-2025,Scotty,Frank Vatrano,3.12,26,6,9,24
2025-2026,Driftless Hockey Club,Kiefer Sherwood,3.12,48,17,8,25
2020-2021,Maplewood HC,Sean Monahan,3.11,27,6,12,11
2020-2021,Potomac Poutine,Brady Tkachuk,3.11,27,9,9,8
2021-2022,Les Rois de Lyon,Adam Henrique,3.11,18,4,7,11
2021-2022,Minnesota Frozen Pines,Pavel Zacha,3.11,18,7,4,5
2022-2023,Scotty,Tyler Seguin,3.11,66,19,26,19
2024-2025,Steel Valley Fishers,Claude Giroux,3.11,44,10,18,23
2024-2025,Synth City Sphynx,Artturi Lehkonen,3.11,57,20,14,27
2019-2020,Slick City Jackals,Victor Olofsson,3.1,10,3,3,2
2023-2024,Rotterdam Red Foxes,Jake DeBrusk,3.1,10,4,0,6
2025-2026,Driftless Hockey Club,Joel Eriksson Ek,3.1,20,3,10,12
2020-2021,Rotterdam Red Foxes,Andre Burakovsky,3.09,34,11,12,7
2022-2023,Les Rois de Lyon,Taylor Hall,3.09,53,14,19,30
2025-2026,Mt Pearl Vikings,Anthony Mantha,3.09,11,4,2,7
2019-2020,Minnesota Frozen Pines,Filip Forsberg,3.08,13,1,6,15
2019-2020,Les Rois De Lyon,Josh Bailey,3.08,37,7,14,30
2019-2020,Minnesota Frozen Pines,Blake Coleman,3.08,12,5,0,6
2022-2023,Alberta Cobra Chickens,Matt Boldy,3.08,52,13,20,17
2023-2024,Rotterdam Red Foxes,Troy Terry,3.08,24,5,11,13
2025-2026,Synth City Sphynx,Artturi Lehkonen,3.08,63,19,23,28
2019-2020,Seminole Road Snakeheads,Joe Pavelski,3.07,29,8,7,21
2019-2020,Alberta Cobra Chickens,Noel Acciari,3.07,28,7,3,42
2019-2020,Potomac Poutine,Paul Stastny,3.07,14,4,4,5
2020-2021,Synth City,Alex Iafallo,3.07,27,8,7,18
2022-2023,Slick City Jackals,Dawson Mercer,3.07,27,6,9,22
2023-2024,Pennant Pumpjacks,Ilya Mikheyev,3.07,14,6,4,1
2023-2024,Scotty,Lawson Crouse,3.07,30,9,7,20
2024-2025,Mt Pearl Vikings,Anders Lee,3.07,15,4,5,8
2024-2025,Slick City Jackals,Andrei Svechnikov,3.07,69,19,27,19
2024-2025,Steel Valley Fishers,Dmitry Voronkov,3.07,30,7,11,20
2021-2022,Pennant Pumpjacks,Alex Iafallo,3.06,17,5,4,15
2021-2022,Potomac Poutine,Chandler Stephenson,3.06,18,5,6,6
2024-2025,Les Rois de Lyon,Brock Nelson,3.05,19,5,7,9
2019-2020,Taku River Glaciers,Matt Duchene,3.05,43,10,21,10
2025-2026,Cantuar Slough Sharks,Justin Brazeau,3.05,39,11,13,17
2025-2026,Driftless Hockey Club,Charlie Coyle,3.05,19,4,7,12
2020-2021,Potomac Poutine,Phil Kessel,3.04,23,7,8,5
2022-2023,Mt Pearl Vikings,Michael Bunting,3.04,45,15,15,11
2021-2022,Scotty,Marcus Foligno,3.03,39,15,6,21
2021-2022,Minnesota Frozen Pines,Tyler Toffoli,3.03,37,10,13,10
2021-2022,Cachco Eagles,Jakub Voracek,3.03,35,2,24,13
2021-2022,Synth City,Jesse Puljujarvi,3.03,34,10,13,9
2021-2022,Pennant Pumpjacks,Sean Couturier,3.03,29,6,11,18
2023-2024,Maplewood HC,Tom Wilson,3.03,39,11,7,34
2025-2026,Scotty,Ivan Barbashev,3.03,65,17,24,35
2019-2020,Alberta Cobra Chickens,Sean Monahan,3.02,63,19,21,18
2019-2020,Potomac Poutine,Tom Wilson,3.02,41,11,11,32
2021-2022,Minnesota Frozen Pines,Connor Brown,3.02,56,8,27,32
2023-2024,Slick City Jackals,Josh Norris,3.02,46,12,13,27
2022-2023,Les Rois de Lyon,Evgeny Kuznetsov,3.01,67,11,35,25
2023-2024,Synth City Sphynx,Johnny Gaudreau,3.01,78,11,47,22
2019-2020,Potomac Poutine,Oskar Lindblom,3,25,8,6,15
2024-2025,Driftless Hockey Club,Cole Perfetti,3,10,2,5,4
2019-2020,Last Mountain Walleye,Aleksander Barkov,3,14,4,4,8
2019-2020,Last Mountain Walleye,Ryan Getzlaf,3,10,1,3,14
2019-2020,Steel Valley Fishers,Anthony Cirelli,3,10,2,4,8
2020-2021,Potomac Poutine,Adrian Kempe,3,29,9,7,11
2020-2021,Maplewood HC,Anthony Mantha,3,24,7,7,14
2020-2021,Alberta Cobra Chickens,Joonas Donskoi,3,18,7,2,8
2020-2021,Scotty,Filip Chytil,3,17,4,6,13
2020-2021,Minnesota Frozen Pines,Nino Niederreiter,3,17,7,3,4
2020-2021,Potomac Poutine,Yanni Gourde,3,14,4,5,6
2020-2021,Minnesota Frozen Pines,Pavel Zacha,3,11,2,7,1
2021-2022,Les Rois de Lyon,Nicklas Backstrom,3,44,6,24,16
2021-2022,Slick City Jackals,Conor Garland,3,32,10,12,8
2021-2022,Alberta Cobra Chickens,Christian Dvorak,3,23,4,6,29
2021-2022,Pennant Pumpjacks,Jamie Benn,3,12,2,4,14
2021-2022,Taku River Glaciers,Anthony Mantha,3,10,2,4,6
2022-2023,Scotty,Eeli Tolvanen,3,38,12,9,22
2023-2024,Steel Valley Fishers,Jonathan Huberdeau,3,17,4,7,8
2024-2025,Pennant Pumpjacks,Nick Schmaltz,3,12,2,4,10
2025-2026,Bowness Ice Beavers,Marcus Johansson,3,11,2,6,3
2025-2026,Rotterdam Red Foxes,Eeli Tolvanen,3,29,6,7,33
2023-2024,Steel Valley Fishers,Jamie Benn,2.98,45,8,18,26
2025-2026,Les  Rois de Lyon,Nazem Kadri,2.97,63,13,29,22
2025-2026,Les  Rois de Lyon,Anze Kopitar,2.97,38,6,15,31
2025-2026,Pennant Pumpjacks,Jake DeBrusk,2.97,32,10,7,13
2019-2020,Last Mountain Walleye,Gustav Nyquist,2.96,24,5,11,7
2021-2022,Potomac Poutine,Alexander Kerfoot,2.96,23,4,8,22
2022-2023,Cantuar Slough Sharks,William Karlsson,2.96,70,10,34,39
2022-2023,Steel Valley Fishers,Nick Schmaltz,2.96,24,4,13,10
