Season,Team,Player,Avg Points,GP,G,A,Blk
2022-2023,Cantuar Slough Sharks,Travis Konecny,5.19,48,23,25,31
2022-2023,Slick City Jackals,Zach Hyman,5.19,57,27,40,17
2023-2024,Pennant Pumpjacks,Sam Reinhart,5.19,31,18,12,23
2019-2020,Synth City ,Alex Ovechkin,5.18,67,47,18,28
2021-2022,Mt Pearl Vikings,Artemi Panarin,5.18,74,22,74,14
2024-2025,Cantuar Slough Sharks,David Pastrnak,5.18,56,28,40,12
2025-2026,Les  Rois de Lyon,Jake Guentzel,5.18,77,36,48,40
2025-2026,Rockaway Brattwursts,Brandon Hagel,5.17,60,34,31,34
2021-2022,Scotty,Chris Kreider,5.16,77,49,24,37
2023-2024,Mt Pearl Vikings,Sidney Crosby,5.16,77,39,48,36
2019-2020,Scotty,Patrick Kane,5.15,62,29,45,16
2020-2021,Seminole Road Snakeheads,Max Pacioretty,5.15,46,23,27,26
2024-2025,Potomac Poutine,Robert Thomas,5.15,62,19,54,44
2024-2025,Slick City Jackals,Nick Suzuki,5.15,79,27,58,68
2019-2020,Minnesota Frozen Pines,Brad Marchand,5.14,57,23,46,14
2022-2023,Minnesota Frozen Pines,Nick Schmaltz,5.14,28,13,18,13
2024-2025,Synth City Sphynx,Brandon Hagel,5.14,79,32,54,59
2021-2022,Minnesota Frozen Pines,Nick Schmaltz,5.12,25,11,18,14
2025-2026,Rockaway Brattwursts,Auston Matthews,5.12,58,26,25,77
2021-2022,Slick City Jackals,Timo Meier,5.11,73,35,40,54
2021-2022,Synth City,Nazem Kadri,5.11,66,26,55,15
2023-2024,Les Rois de Lyon,Jake Guentzel,5.11,65,29,46,28
2024-2025,Woodland Whistle Pigs,Aleksander Barkov,5.11,66,20,49,54
2019-2020,Rotterdam Red Foxes,Jordan Eberle,5.1,10,5,4,8
2022-2023,Synth City,Alex Ovechkin,5.1,68,40,32,21
2024-2025,Alberta Cobra Chickens,William Nylander,5.1,78,45,38,27
2021-2022,Taku River Glaciers,Dylan Strome,5.09,11,5,7,6
2019-2020,Steel Valley Fishers,Jake Guentzel,5.08,39,20,23,19
2021-2022,Les Rois de Lyon,Jack Hughes,5.08,49,26,30,15
2022-2023,Steel Valley Fishers,Jack Hughes,5.08,24,7,20,17
2021-2022,Maplewood HC,Tyler Bertuzzi,5.07,43,23,21,26
2021-2022,Seminole Road Snakeheads,Tage Thompson,5.07,42,25,19,14
2021-2022,Bowness Ice Beavers,Mitch Marner,5.07,41,17,29,17
