Season,Team,Player,AvgPoints,GP,W,GA,SHO
2025-2026,Bowness Ice Beavers,Thatcher Demko,5.05,19,8,52,1
2025-2026,Rotterdam Red Foxes,Jake Allen,5.05,21,10,59,0
2023-2024,Potomac Poutine,Ilya Samsonov,5.04,28,14,91,1
2023-2024,Mt Pearl Vikings,Vitek Vanecek,5.04,25,14,77,0
2022-2023,Slick City Jackals,Spencer Knight,5,18,8,54,1
2023-2024,Woodland Whistle Pigs,Darcy Kuemper,5,13,7,38,1
2024-2025,Potomac Poutine,Spencer Knight,5,22,9,62,1
2021-2022,Scotty,Connor Hellebuyck,4.98,52,21,154,3
2019-2020,Taku River Glaciers,John Gibson,4.97,38,17,100,1
2022-2023,Scotty,Carter Hart,4.96,46,18,124,2
2025-2026,Bowness Ice Beavers,Darcy Kuemper,4.95,43,15,111,3
2019-2020,Scotty,Pekka Rinne,4.94,17,8,49,0
2025-2026,Southside Hellbats,Juuse Saros,4.94,52,25,154,0
2021-2022,Cachco Eagles,Anton Forsberg,4.93,15,7,40,0
2025-2026,Potomac Poutine,Spencer Knight,4.92,38,14,105,2
2023-2024,Bowness Ice Beavers,Martin Jones,4.92,12,6,32,0
2019-2020,Last Mountain Walleye,Martin Jones,4.9,20,9,57,1
2020-2021,Slick City Jackals,Jake Allen,4.9,10,3,22,0
2023-2024,Steel Valley Fishers,Jake Allen,4.9,10,5,34,0
2020-2021,Minnesota Frozen Pines,Kevin Lankinen,4.89,27,12,86,1
2022-2023,Maplewood HC,Darcy Kuemper,4.89,53,20,146,5
2022-2023,Cantuar Slough Sharks,Ville Husso,4.88,43,19,128,2
2025-2026,Les  Rois de Lyon,Connor Hellebuyck,4.87,53,22,146,0
2021-2022,Mt Pearl Vikings,Mikko Koskinen,4.85,13,7,44,0
2023-2024,Driftless Hockey Club,Alex Lyon,4.85,20,10,61,1
2024-2025,Potomac Poutine,Ukko-Pekka Luukkonen,4.84,45,20,136,2
2021-2022,Bowness Ice Beavers,Antti Raanta,4.83,12,5,33,0
2022-2023,Alberta Cobra Chickens,Jordan Binnington,4.81,58,27,187,2
2023-2024,Rotterdam Red Foxes,Charlie Lindgren,4.8,15,5,37,1
2021-2022,Mt Pearl Vikings,Philipp Grubauer,4.79,14,5,37,1
2024-2025,Steel Valley Fishers,Igor Shesterkin,4.79,19,7,54,2
2022-2023,Rotterdam Red Foxes,Cam Talbot,4.78,32,15,90,1
2024-2025,Scotty,Elvis Merzlikins,4.78,27,14,87,0
2023-2024,Pennant Pumpjacks,Scott Wedgewood,4.77,13,6,37,0
2024-2025,Slick City Jackals,Lukas Dostal,4.77,30,13,84,1
2025-2026,Maplewood HC,Dustin Wolf,4.75,55,23,156,2
2023-2024,Synth City Sphynx,Jonas Johansson,4.74,19,8,65,2
2021-2022,Les Rois de Lyon,Mikko Koskinen,4.67,12,6,38,0
2022-2023,Steel Valley Fishers,Tristan Jarry,4.67,18,8,52,1
2025-2026,Alberta Cobra Chickens,Joseph Woll,4.66,35,14,108,2
2023-2024,Alberta Cobra Chckens,Marc-Andre Fleury,4.62,26,11,73,1
2020-2021,Cachco Eagles,Thatcher Demko,4.61,28,12,86,1
2022-2023,Pennant Pumpjacks,Sergei Bobrovsky,4.56,43,19,126,0
2019-2020,Scotty,Sergei Bobrovsky,4.56,25,11,73,1
2025-2026,Bowness Ice Beavers,Lukas Dostal,4.56,16,8,59,0
2021-2022,Bowness Ice Beavers,Jake Allen,4.55,11,3,30,2
2023-2024,Alberta Cobra Chckens,Darcy Kuemper,4.54,13,5,40,0
2019-2020,Synth City ,Mikko Koskinen,4.53,15,6,42,1
2025-2026,Mt Pearl Vikings,Adin Hill,4.52,21,8,59,0
2022-2023,Minnesota Frozen Pines,Jake Allen,4.5,10,4,31,0
2022-2023,Rotterdam Red Foxes,Thatcher Demko,4.5,30,12,93,1
2024-2025,Scotty,Jeremy Swayman,4.44,55,21,170,3
2024-2025,Driftless Hockey Club,Juuse Saros,4.4,43,12,122,4
2024-2025,Rockaway Brattwursts,Alex Nedeljkovic,4.39,31,12,91,1
2022-2023,Woodland Whistle Pigs,Mackenzie Blackwood,4.38,13,6,36,0
2021-2022,Seminole Road Snakeheads,Elvis Merzlikins,4.38,47,19,141,1
2023-2024,Maplewood HC,Daniil Tarasov,4.38,16,6,40,0
2024-2025,Slick City Jackals,Calvin Pickard,4.36,11,5,32,0
2023-2024,Driftless Hockey Club,Ville Husso,4.35,17,8,58,0
2021-2022,Pennant Pumpjacks,John Gibson,4.31,49,17,149,1
2023-2024,Steel Valley Fishers,Joseph Woll,4.31,13,6,39,0
2024-2025,Rotterdam Red Foxes,Connor Ingram,4.31,13,5,40,0
2022-2023,Cantuar Slough Sharks,Jacob Markstrom,4.3,40,14,116,1
2023-2024,Rockaway Brattwursts,Joonas Korpisalo,4.29,45,20,132,0
2020-2021,Seminole Road Snakeheads,Matt Murray,4.26,27,10,79,2
2021-2022,Rotterdam Red Foxes,Alex Nedeljkovic,4.26,23,9,68,1
2025-2026,Scotty,Philipp Grubauer,4.25,16,5,45,0
2020-2021,Steel Valley Fishers,Darcy Kuemper,4.25,16,5,40,0
2025-2026,Synth City Sphynx,Anthony Stolarz,4.24,25,10,76,0
2021-2022,Maplewood HC,Mackenzie Blackwood,4.23,22,8,67,2
2020-2021,Les Rois de Lyon,Mackenzie Blackwood,4.2,30,11,95,1
2022-2023,Minnesota Frozen Pines,Karel Vejmelka,4.18,28,12,96,1
2020-2021,Maplewood HC,John Gibson,4.14,21,5,64,3
2020-2021,Maplewood HC,Elvis Merzlikins,4.12,16,4,39,1
2025-2026,Mt Pearl Vikings,Yaroslav Askarov,4.05,19,8,61,0
2020-2021,Slick City Jackals,Joonas Korpisalo,4.05,20,6,58,0
2025-2026,Rockaway Brattwursts,Leevi Merilainen,4,12,5,40,0
2025-2026,Alberta Cobra Chickens,Jordan Binnington,3.97,36,11,112,1
2019-2020,Slick City Jackals,Sergei Bobrovsky,3.95,21,9,70,0
2021-2022,Potomac Poutine,Kaapo Kahkonen,3.93,14,4,34,0
2022-2023,Les Rois de Lyon,James Reimer,3.91,23,7,76,1
2021-2022,Maplewood HC,Carter Hart,3.9,40,11,118,1
2019-2020,Slick City Jackals,Semyon Varlamov,3.87,15,5,39,1
2022-2023,Alberta Cobra Chickens,Jonathan Quick,3.78,18,6,57,1
2023-2024,Bowness Ice Beavers,Antti Raanta,3.7,10,4,33,1
2022-2023,Cachco Eagles,Jake Allen,3.68,19,6,64,1
2024-2025,Cantuar Slough Sharks,Alexandar Georgiev,3.68,22,8,70,0
2023-2024,Alberta Cobra Chckens,Anton Forsberg,3.64,14,5,43,1
2022-2023,Steel Valley Fishers,Anton Forsberg,3.5,10,3,34,0
2021-2022,Minnesota Frozen Pines,James Reimer,3.47,19,4,58,0
2020-2021,Potomac Poutine,Martin Jones,3.45,11,3,34,0
2020-2021,Seminole Road Snakeheads,David Rittich,3.42,19,5,46,1
2021-2022,Bowness Ice Beavers,Philipp Grubauer,3.38,21,5,66,0
2023-2024,Synth City Sphynx,Elvis Merzlikins,3.38,13,3,39,0
2024-2025,Cantuar Slough Sharks,Petr Mrazek,3.38,13,3,38,1
2020-2021,Potomac Poutine,Carter Hart,3.3,20,7,71,1
2023-2024,Rotterdam Red Foxes,Adin Hill,3.27,15,5,52,0
2025-2026,Scotty,Joey Daccord,3.23,13,4,43,0
2025-2026,Les  Rois de Lyon,Jonas Johansson,3.18,17,5,58,0
2023-2024,Potomac Poutine,John Gibson,3.03,29,8,97,0
2025-2026,Steel Valley Fishercats,Cam Talbot,3,10,2,35,0
2025-2026,Alberta Cobra Chickens,Kevin Lankinen,2.84,19,4,65,0
2025-2026,Rockaway Brattwursts,Sam Montembeault,2.77,13,4,45,0
2020-2021,Pennant Pumpjacks,Cal Petersen,2.77,13,3,37,0
2022-2023,Pennant Pumpjacks,Spencer Martin,2.5,16,5,63,0
2022-2023,Cachco Eagles,Elvis Merzlikins,2.46,28,7,101,0
2022-2023,Woodland Whistle Pigs,John Gibson,2.3,10,2,44,0
2023-2024,Rockaway Brattwursts,Lukas Dostal,2,15,3,50,0
2024-2025,Alberta Cobra Chickens,Lukas Dostal,1.9,10,2,38,0
2021-2022,Minnesota Frozen Pines,Alex Nedeljkovic,1.5,14,2,53,0
